crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type;source_reference;source_product_category;source_contract_state;source_duplicate_count;target_siren;already_in_crm_ok_gt_exact;existing_component_relation;crm_surface_fingerprint;crm_gt_fingerprint;ambiguous_exact_truth_for_crm_surface;already_in_crm_ok_gt_exact_surface
MCC;91940;91692;100151;LES ULIS;34490092300048;3 RUE DE LA REUNION;LES ULIS;91692;91940;A;INSEE_AND_CP;S231025_81123;Fibre Essentiel;active;1;344900923;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;da2dae4f8e4ecfd0255b13a85d77bad260aff7a469ea7702d572286a311ca874;2aec44d168a859042a5ba57a3d0fc092fa46e9cd19f8f6a971333cc526929c02;False;False
CABINET MEDICAL;11170;11009;100157;ALZONNE;21110009400013;1 AVENUE ANTOINE GAYRAUD;ALZONNE;11009;11170;A;INSEE_AND_CP;S231025_18234;Revente Fibre Essentiel AI;active;1;211100094;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;cbf124f1f8c070b15db64403f1d53bb967f2af7cb788baa1e616b9392e746017;9811d32eeace7ffaa3d91ef97878a996631912c057091d9bcbb161a3851a3644;False;False
DERICQ IMMOBILIER;92150;92073;100160;SURESNES;80743674600018;15B RUE DU MONT VALERIEN;SURESNES;92073;92150;A;INSEE_AND_CP;S231025_35350;Fibre Essentiel;active;1;807436746;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;cb08c9d0f3ecd716292becb215a6abeb933df7bf3acac9ac01a272253a42f6f3;1e3733e4106cc6643b34616e0149e74c2d01dc5f28b476c7483c0b9beecbaf01;False;False
ACTIS OPH DE LA REGION GRENOBLOISE-Relais Bergès;38000;38185;100177;GRENOBLE;34857909500012;10 RUE ARISTIDE BERGES;GRENOBLE;38185;38100;A;INSEE_ONLY;S231026_42783;Fibre Essentiel;terminated;2;348579095;True;EXISTING_TRAIN_COMPONENT;4327e6b6df684c0e13dbc9ec8f2462128c22f0907a5dd4b84e6fa50210e9cdcf;1bd3678cd924078ccb801636d02004cfb5eba2d4583c225bc9faf72acd995640;False;False
FOYER DES AINES;11170;11009;100181;ALZONNE;21110009400013;1 RUE ANTOINE NERIE;ALZONNE;11009;11170;A;INSEE_AND_CP;S231026_70162;Revente Fibre Essentiel AI;active;1;211100094;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;d93996cd29d0df3befdd651d6e82639577839c27aee238ee5017643675947ee2;d9df8afc349a374bb3b9fd474e45b102a8f5a7b382759074e19d5ffeb78289ba;False;False
 CMT CREEA;42300;42127;100184;MABLY;33910161000048;13 RUE DE L ARTISANAT;MABLY;42127;42300;A;INSEE_AND_CP;S231026_17133;Fibre Essentiel;active;1;339101610;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;d3e04a515408129798387c9fb7bc37d669ae48af69e0cdb4cc04e47443e3e90d;3d8d316dc5b616fef2b3ff7322ca4ac3158d4d41a2f0bcad94144138dc0428a1;False;False
LHSM - EAU POTABLE-E10HE HETRAIE;76600;76351;100191;LE HAVRE;20008495200031;0 FOR DE MONTGEON;LE HAVRE;76351;76600;A;INSEE_AND_CP;S231026_22491;ADSL;active;2;200084952;True;EXISTING_TRAIN_COMPONENT;2bbb11a6632d43132e8f9cabc385f2cf0c7115790be55bc78e48a89cbddc86ab;8f83999f8874dd64deafb54e82ebaf9f2a6d12402dc78d8cd17a98f299a9d991;False;False
LHSM - EAU POTABLE;76600;76351;100195;LE HAVRE;20008495200031;0 RUE DE LA JAMBE DE BOIS;LE HAVRE;76351;76600;A;INSEE_AND_CP;S231026_21662;ADSL;active;1;200084952;True;EXISTING_TRAIN_COMPONENT;5049dbd3ae9976cb8e03dcb88f8501af45d4b65734b763dc0aa8d367883cc883;c8447f86cfb2a7765c44af35f5aa4b9c40e665bc651e61f339013b34796fb2f8;False;False
BLG AVOCATS;76000;76540;100197;ROUEN;82400871800028;57 RUE JEANNE D ARC;ROUEN;76540;76000;A;INSEE_AND_CP;S231026_88932;Fibre Essentiel;active;1;824008718;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;e7136f3b84d31ca54659d9d0064609ce9f585aafcbd818ff5327829aaaa9d059;4e915ed02ca6fc9fafa94dde7147659e285644f4a81282f7851578273978342b;False;False
as auto services ;33270;33167;100202;FLOIRAC;89415501900017;5 RUE JEAN MONNET;FLOIRAC;33167;33270;A;INSEE_AND_CP;S231026_06167;Fibre Essentiel;active;1;894155019;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;6ce57eed9ad489688a35d7f6605bf9b50fe44652d299f638f87941afde554184;3dd1b4961645eeb3eb066553ca87771cced81fa7da93549269f5dbf203c6a7fe;False;False
